Time,accX1,accY1,accZ1,accX2,accY2,accZ2,wX1,wY1,wZ1,wX2,wY2,wZ2
15.900021,-0.926670921,-0.107173603,-0.103871308,-0.117151133,-0.836548695,0.556402203,-0.12230628,-0.272591114,-0.007194487,1.831054688,-2.380371094,-2.807617188
15.91002,-0.937165422,-0.103756805,-0.102162909,-0.115320078,-0.835938344,0.554937359,-0.122839205,-0.177730486,0.002931087,1.525878906,-2.319335938,-2.9296875
15.92002,-0.931796167,-0.104733033,-0.098502042,-0.116662852,-0.837036977,0.555791852,-0.113246553,-0.111114852,-0.053292494,0.854492188,-2.258300781,-2.9296875
15.930013,-0.937409528,-0.105465204,-0.099234225,-0.115808359,-0.835938344,0.556158063,-0.124704443,-0.088732004,-0.106584989,0.549316406,-2.258300781,-2.990722656
15.94002,-0.946439589,-0.103268691,-0.102651023,-0.1160525,-0.837525258,0.553838727,-0.157745793,-0.061819296,-0.095660031,0.427246094,-2.197265625,-2.990722656
15.95002,-0.944487132,-0.105465204,-0.103139137,-0.11617457,-0.836548695,0.554693219,-0.192119434,-0.029310873,-0.061552834,1.098632813,-2.258300781,-2.9296875
15.960021,-0.935457071,-0.104000862,-0.101186681,-0.1160525,-0.837036977,0.554204938,-0.1931853,-0.0021317,-0.066882081,1.586914063,-2.319335938,-2.9296875
15.97002,-0.923742237,-0.103268691,-0.099722339,-0.116296641,-0.836792836,0.553960797,-0.169470131,0.019185297,-0.103387438,1.647949219,-2.319335938,-2.9296875
15.98002,-0.919837325,-0.100584052,-0.100942624,-0.116296641,-0.836792836,0.554327008,-0.138826951,0.052759573,-0.131632462,1.586914063,-2.319335938,-2.9296875
15.99002,-0.91764086,-0.102536508,-0.104847536,-0.115564219,-0.837403188,0.555425641,-0.118309341,0.084735066,-0.115911178,1.46484375,-2.380371094,-2.868652344
16.00002,-0.915932412,-0.113763143,-0.110948962,-0.11617457,-0.836548695,0.555791852,-0.106851459,0.114312403,-0.099390499,1.159667969,-2.258300781,-2.9296875
16.010021,-0.921545773,-0.12157298,-0.116806342,-0.115686289,-0.836060414,0.556402203,-0.108983152,0.140425727,-0.114312403,0.732421875,-2.258300781,-2.868652344
16.020013,-0.919105202,-0.118400239,-0.119002856,-0.116296641,-0.837769398,0.555791852,-0.110315464,0.152416542,-0.088199086,0.305175781,-2.319335938,-2.9296875
16.03002,-0.908610702,-0.12401355,-0.11290143,-0.11617457,-0.837036977,0.553594586,-0.106318533,0.150551304,-0.080738127,0.366210938,-2.319335938,-2.9296875
16.040021,-0.894211386,-0.121817037,-0.108996506,-0.116540781,-0.83850182,0.553838727,-0.085800916,0.188388973,-0.175865233,1.098632813,-2.319335938,-2.9296875
16.05002,-0.886401562,-0.115471542,-0.103383194,-0.116784922,-0.836548695,0.554327008,-0.08020521,0.196649313,-0.209972441,2.014160156,-2.380371094,-2.868652344
16.060013,-0.887621798,-0.107661718,-0.101918852,-0.116540781,-0.836792836,0.553838727,-0.099656969,0.170802444,-0.112447165,2.136230469,-2.380371094,-2.868652344
16.070021,-0.882740658,-0.114739371,-0.098502042,-0.115686289,-0.836548695,0.554815289,-0.109782539,0.148419604,-0.066082694,1.647949219,-2.380371094,-2.9296875
16.08002,-0.885669342,-0.113030972,-0.098990168,-0.115442148,-0.837159047,0.553106305,-0.095660031,0.119375192,-0.083402753,1.037597656,-2.258300781,-2.9296875
16.090021,-0.878347631,-0.123525436,-0.105579707,-0.1160525,-0.836792836,0.554327008,-0.120707504,0.066082694,-0.003464012,0.427246094,-2.197265625,-2.990722656
16.100022,-0.877127298,-0.124989778,-0.097525814,-0.115686289,-0.838990102,0.55127525,-0.134030625,-0.005595712,0.022382848,-0.48828125,-2.136230469,-3.051757813
16.11002,-0.891038596,-0.12157298,-0.10533565,-0.11617457,-0.839234242,0.553472516,-0.136695251,-0.051960181,0.103387438,0.427246094,-2.258300781,-2.9296875
16.12002,-0.871269929,-0.123769493,-0.096793642,-0.114099375,-0.83837975,0.552129742,-0.085001536,-0.041834611,-0.010658499,1.46484375,-2.197265625,-2.868652344
16.13002,-0.885913448,-0.123525436,-0.102406966,-0.11593043,-0.837036977,0.555791852,-0.031975497,-0.058621746,-0.04769678,0.915527344,-2.258300781,-2.868652344
16.14002,-0.899580641,-0.118644296,-0.104115365,-0.116296641,-0.836914906,0.551885602,-0.00106585,-0.072211333,-0.042900458,-0.549316406,-2.136230469,-2.990722656
16.15002,-0.906414237,-0.115227485,-0.101918852,-0.116906992,-0.83850182,0.552862164,0.013323124,-0.090597242,-0.037304748,-0.366210938,-2.136230469,-2.990722656
16.160014,-0.905926123,-0.11156663,-0.102651023,-0.117517344,-0.83837975,0.552984234,0.001332312,-0.111114852,-0.004796324,-0.183105469,-2.014160156,-2.990722656
16.170021,-0.912515614,-0.110590402,-0.10533565,-0.116662852,-0.837036977,0.551519391,-0.037837673,-0.129234299,0.042900458,-0.305175781,-2.075195313,-2.9296875
16.180013,-0.92008143,-0.112054744,-0.104603479,-0.116784922,-0.839966664,0.551031109,-0.072211333,-0.140159264,0.064750381,-0.732421875,-2.014160156,-2.990722656
16.19002,-0.920813553,-0.110346345,-0.112169259,-0.117273203,-0.840577016,0.551763531,-0.104986221,-0.144422665,0.108183771,-0.48828125,-2.014160156,-2.9296875
16.200021,-0.929599703,-0.112298801,-0.122175597,-0.116418711,-0.838745961,0.552251813,-0.127635539,-0.111114852,0.213969365,-0.48828125,-2.136230469,-2.807617188
16.210013,-0.925938799,-0.121817037,-0.124616179,-0.116662852,-0.837647328,0.550420758,-0.119375192,-0.041301683,0.21450229,-1.098632813,-2.014160156,-2.9296875
16.22002,-0.927647247,-0.126698177,-0.125104293,-0.117029063,-0.839844594,0.550176617,-0.077540584,0.006661562,0.071678407,-1.525878906,-2.014160156,-2.990722656
16.230021,-0.919837325,-0.125721949,-0.121443426,-0.116662852,-0.841553578,0.548833844,-0.048229709,0.069546707,-0.054091886,-1.770019531,-2.014160156,-3.051757813
16.240021,-0.910807264,-0.113763143,-0.11290143,-0.115808359,-0.841431508,0.546880719,-0.041834611,0.094061248,-0.126036748,-1.403808594,-2.014160156,-3.051757813
16.250013,-0.906414237,-0.104000862,-0.110704905,-0.11617457,-0.841065297,0.546758648,-0.045032158,0.092995405,-0.118575804,-0.48828125,-2.136230469,-2.9296875
16.26002,-0.9120275,-0.10912606,-0.10948462,-0.115564219,-0.839844594,0.548833844,-0.042633995,0.083402753,-0.066882081,0.122070313,-2.258300781,-2.868652344
16.27002,-0.91446807,-0.119376467,-0.111437088,-0.116784922,-0.840577016,0.548101422,-0.045298621,0.072477795,-0.072477795,-0.305175781,-2.197265625,-2.9296875
